user_id,total_spend,purchase_freq,fans_num,follow_num,age,gender,user_level,register_days,label,social_activity,cluster,cluster_name
U00000067,1584.06,14,0,10,33,1,3,174,1.0,10,1,群体B
U00000068,772.54,10,1,19,28,0,1,473,0.0,20,1,群体B
U00000069,403.99,7,1,11,18,0,7,586,0.0,12,1,群体B
U00000070,3089.65,4,1,22,18,0,4,705,1.0,23,1,群体B
U00000071,1459.47,2,1,18,25,0,3,504,0.0,19,1,群体B
U00000072,6412.95,50,0,21,21,0,6,987,0.0,21,0,群体A
U00000073,256.38,12,0,25,32,1,4,490,0.0,25,1,群体B
U00000074,372.5,4,0,16,30,1,1,552,0.0,16,1,群体B
U00000075,1325.01,8,4,7,29,1,4,454,0.0,11,1,群体B
U00000076,3934.01,50,1,32,22,0,2,871,0.0,33,0,群体A
U00000077,1495.2,21,1,19,28,0,7,280,1.0,20,0,群体A
U00000078,3719.71,21,0,78,29,0,6,1,1.0,78,2,群体C
U00000079,512.54,36,0,1,24,0,5,643,0.0,1,0,群体A
U00000080,495.14,22,0,13,25,0,5,553,0.0,13,0,群体A
U00000081,1564.1,12,0,22,29,1,1,723,0.0,22,1,群体B
U00000082,1513.84,7,0,28,18,0,3,1107,1.0,28,1,群体B
U00000083,264.59,50,0,12,22,0,4,276,1.0,12,0,群体A
U00000084,4974.71,2,0,6,21,1,5,547,0.0,6,1,群体B
U00000085,632.38,36,0,86,34,1,2,492,1.0,86,2,群体C
U00000086,632.03,9,0,8,22,0,5,596,1.0,8,1,群体B
U00000087,543.79,6,0,14,27,1,4,727,1.0,14,1,群体B
U00000088,4716.49,2,3,10,32,1,4,952,0.0,13,1,群体B
U00000089,6793.59,13,1,30,20,0,6,588,0.0,31,3,群体D
U00000090,4366.2,3,1,7,34,0,5,658,0.0,8,1,群体B
U00000091,2653.64,11,3,4,34,1,3,471,1.0,7,1,群体B
U00000092,3368.99,13,0,65,18,0,4,645,0.0,65,2,群体C
U00000093,3712.49,12,0,27,29,0,5,133,0.0,27,1,群体B
U00000094,1114.97,13,0,24,35,1,2,1135,1.0,24,1,群体B
U00000095,2511.68,10,0,3,23,1,2,10,1.0,3,1,群体B
U00000096,5090.21,10,0,4,31,0,6,518,0.0,4,1,群体B
U00000097,1238.55,9,0,31,18,0,3,582,0.0,31,1,群体B
U00000098,612.16,11,0,11,18,1,3,696,1.0,11,1,群体B
U00000099,3495.42,8,2,9,23,1,2,489,0.0,11,1,群体B
U00000100,3673.73,4,0,6,19,0,2,872,0.0,6,1,群体B
U00000101,1546.14,50,0,36,29,0,2,475,1.0,36,0,群体A
U00000102,12537.59,2,1,10,29,1,5,1050,1.0,11,3,群体D
U00000103,1600.54,2,0,24,41,1,4,249,0.0,24,1,群体B
U00000104,320.07,2,0,2,33,1,3,644,0.0,2,1,群体B
U00000105,1859.56,5,0,36,22,0,3,931,0.0,36,1,群体B
U00000106,3264.13,6,0,8,27,1,1,500,0.0,8,1,群体B
U00000107,9057.24,3,3,14,28,0,4,227,0.0,17,3,群体D
U00000108,4527.04,9,0,5,31,0,3,334,0.0,5,1,群体B
U00000109,2469.84,4,1,16,18,0,2,580,0.0,17,1,群体B
U00000110,3922.79,6,1,29,23,0,5,1011,1.0,30,1,群体B
U00000111,8263.96,9,0,3,35,0,2,459,0.0,3,3,群体D
U00000112,1162.37,11,0,40,30,1,5,296,1.0,40,1,群体B
U00000113,2827.58,11,0,5,27,1,3,1146,1.0,5,1,群体B
U00000114,1913.76,37,0,14,22,0,5,219,0.0,14,0,群体A
U00000115,3882.22,12,1,23,25,0,2,357,1.0,24,1,群体B
U00000116,3107.27,25,0,6,27,0,4,161,0.0,6,0,群体A
U00000117,816.78,8,0,6,19,0,4,1,0.0,6,1,群体B
U00000118,2502.28,9,0,25,29,0,4,666,0.0,25,1,群体B
U00000119,538.54,21,0,4,27,0,3,699,0.0,4,0,群体A
U00000120,1015.32,11,0,14,23,0,2,806,0.0,14,1,群体B
U00000121,199.9,11,0,5,23,0,5,441,0.0,5,1,群体B
U00000122,499.56,2,0,12,18,1,2,500,0.0,12,1,群体B
U00000123,743.43,4,0,11,35,0,4,850,1.0,11,1,群体B
U00000124,744.07,8,2,3,30,1,1,587,0.0,5,1,群体B
U00000125,313.09,1,0,18,29,1,2,196,1.0,18,1,群体B
U00000126,2728.17,11,0,6,31,1,2,522,0.0,6,1,群体B
U00000127,1138.85,4,0,3,18,0,5,235,1.0,3,1,群体B
U00000128,19324.98,12,0,5,40,1,5,457,0.0,5,3,群体D
U00000129,828.91,21,0,71,18,0,6,215,1.0,71,2,群体C
U00000130,455.97,22,0,9,34,1,1,703,1.0,9,0,群体A
U00000131,483.74,4,1,30,27,1,6,529,1.0,31,1,群体B
U00000132,9162.74,50,9,0,18,1,3,176,0.0,9,0,群体A
U00000133,668.46,9,0,40,27,1,6,529,0.0,40,1,群体B
U00000134,3430.93,10,0,7,30,0,4,412,0.0,7,1,群体B
U00000135,3350.53,18,0,10,22,1,1,1,0.0,10,1,群体B
U00000136,10530.34,4,0,7,36,1,4,664,1.0,7,3,群体D
U00000137,763.32,11,0,8,18,1,4,1,0.0,8,1,群体B
U00000138,1565.11,1,0,10,18,0,4,588,1.0,10,1,群体B
U00000139,1269.3,4,0,7,18,1,6,368,1.0,7,1,群体B
U00000140,1403.83,10,0,10,18,0,4,653,0.0,10,1,群体B
U00000141,1153.81,2,2,167,28,0,4,854,0.0,169,2,群体C
U00000142,555.65,5,0,30,39,0,7,349,1.0,30,1,群体B
U00000143,273.82,6,0,4,33,1,1,295,0.0,4,1,群体B
U00000144,1637.61,17,1,20,24,1,4,725,0.0,21,1,群体B
U00000145,3638.02,16,0,8,38,0,5,714,1.0,8,1,群体B
U00000146,1882.08,9,0,12,35,0,4,17,1.0,12,1,群体B
U00000147,5117.42,6,0,11,21,0,4,698,1.0,11,1,群体B
U00000148,1223.9,5,0,41,24,0,3,517,1.0,41,1,群体B
U00000149,846.65,11,2,10,29,0,5,928,0.0,12,1,群体B
U00000150,5213.09,1,2,100,20,0,3,876,1.0,102,2,群体C
U00000151,619.52,9,0,2,19,0,6,512,0.0,2,1,群体B
U00000152,2205.64,41,0,10,32,0,6,497,1.0,10,0,群体A
U00000153,406.04,9,0,2,34,1,4,939,0.0,2,1,群体B
U00000154,3760.01,2,0,23,18,0,4,406,1.0,23,1,群体B
U00000155,2584.53,5,1,2,29,0,7,594,1.0,3,1,群体B
U00000156,3065.61,4,0,18,29,1,4,552,0.0,18,1,群体B
U00000157,1216.32,15,2,8,18,1,6,214,1.0,10,1,群体B
U00000158,1177.69,5,1,60,29,1,2,965,1.0,61,2,群体C
U00000159,1969.48,5,1,36,31,1,4,429,1.0,37,1,群体B
U00000160,3548.18,32,1,12,31,0,4,515,0.0,13,0,群体A
U00000161,1292.28,7,0,13,24,0,6,945,0.0,13,1,群体B
U00000162,1553.88,24,0,23,29,0,1,341,0.0,23,0,群体A
U00000163,903.58,2,2,9,28,0,5,359,0.0,11,1,群体B
U00000164,1368.01,10,0,4,27,0,5,633,1.0,4,1,群体B
U00000165,718.89,4,0,23,33,0,4,711,1.0,23,1,群体B
U00000166,994.6,27,1,47,19,0,5,687,0.0,48,0,群体A
U00000167,549.03,9,0,67,20,0,4,100,0.0,67,2,群体C
U00000168,1625.63,29,1,53,18,0,4,374,0.0,54,0,群体A
U00000169,516.37,13,0,37,34,0,1,911,1.0,37,1,群体B
U00000170,788.72,11,0,59,26,1,4,209,0.0,59,2,群体C
U00000171,1083.7,7,1,4,21,1,3,381,1.0,5,1,群体B
U00000172,1827.66,9,0,28,36,1,5,473,0.0,28,1,群体B
U00000173,4366.57,9,0,17,24,0,7,601,0.0,17,1,群体B
U00000174,7541.57,10,0,13,18,1,5,952,0.0,13,3,群体D
U00000175,1146.08,8,0,28,21,1,4,351,0.0,28,1,群体B
U00000176,898.97,37,0,37,27,0,4,258,0.0,37,0,群体A
U00000177,12889.11,6,0,21,29,0,2,594,0.0,21,3,群体D
U00000178,580.74,3,0,15,21,0,4,888,1.0,15,1,群体B
U00000179,5183.88,7,0,10,23,0,4,546,0.0,10,1,群体B
U00000180,1206.59,5,5,1,22,0,5,652,0.0,6,1,群体B
U00000181,2678.75,7,0,17,31,1,7,804,1.0,17,1,群体B
U00000182,2808.57,5,0,4,37,0,4,392,1.0,4,1,群体B
U00000183,1810.01,40,2,34,20,0,4,736,0.0,36,0,群体A
U00000184,945.71,19,0,5,38,0,3,547,0.0,5,1,群体B
U00000185,1771.14,8,0,4,28,0,3,461,0.0,4,1,群体B
U00000186,3449.15,32,0,21,25,1,5,8,0.0,21,0,群体A
U00000187,12259.09,8,0,7,24,1,2,429,0.0,7,3,群体D
U00000188,383.51,25,1,21,18,0,3,558,1.0,22,0,群体A
U00000189,7374.0,3,1,9,19,1,5,360,0.0,10,3,群体D
U00000190,2884.52,1,0,4,18,1,4,457,1.0,4,1,群体B
U00000191,6779.87,10,0,4,18,0,6,695,0.0,4,3,群体D
U00000192,3330.44,3,0,5,29,0,4,818,0.0,5,1,群体B
U00000193,1552.8,14,0,3,43,0,3,330,0.0,3,1,群体B
U00000194,253.23,7,0,3,20,0,2,827,0.0,3,1,群体B
U00000195,4569.95,5,0,11,24,0,6,397,1.0,11,1,群体B
U00000196,3853.29,2,0,14,34,1,4,311,0.0,14,1,群体B
U00000197,1643.19,11,0,34,18,1,4,386,1.0,34,1,群体B
U00000198,3418.31,5,1,9,18,0,3,1,0.0,10,1,群体B
U00000199,2907.15,8,0,9,18,0,4,641,0.0,9,1,群体B
U00000200,1697.51,2,4,13,27,0,2,26,1.0,17,1,群体B
U00000201,1112.71,14,0,48,21,0,5,1104,0.0,48,1,群体B
U00000202,3771.38,4,1,3,18,0,6,1046,1.0,4,1,群体B
U00000203,641.39,8,0,10,21,0,7,885,1.0,10,1,群体B
U00000204,2092.37,12,2,162,33,0,3,170,0.0,164,2,群体C
U00000205,1111.53,5,0,15,23,0,3,363,1.0,15,1,群体B
U00000206,1285.09,9,2,18,33,1,2,268,1.0,20,1,群体B
U00000207,6552.36,5,0,17,29,0,2,693,1.0,17,3,群体D
U00000208,969.93,16,0,4,27,0,5,731,1.0,4,1,群体B
U00000209,272.37,12,0,60,26,1,4,651,0.0,60,2,群体C
U00000210,1067.42,7,2,9,31,0,2,115,0.0,11,1,群体B
U00000211,8413.31,5,0,77,28,1,4,244,1.0,77,2,群体C
U00000212,754.95,50,1,19,27,0,2,512,1.0,20,0,群体A
U00000213,1575.42,14,0,4,18,0,6,662,1.0,4,1,群体B
U00000214,3635.42,1,0,25,23,0,2,1,1.0,25,1,群体B
U00000215,1386.73,20,0,25,18,1,1,350,1.0,25,0,群体A
U00000216,3363.64,4,1,21,18,0,6,658,1.0,22,1,群体B
U00000217,752.28,3,4,4,34,0,5,540,0.0,8,1,群体B
U00000218,8096.76,15,0,66,25,1,4,808,1.0,66,3,群体D
U00000219,3162.64,11,0,9,39,0,5,282,0.0,9,1,群体B
U00000220,5184.7,6,3,34,32,0,1,333,0.0,37,1,群体B
U00000221,8099.88,4,0,14,20,0,5,122,0.0,14,3,群体D
U00000222,388.42,4,0,24,23,0,3,594,0.0,24,1,群体B
U00000223,1199.81,4,0,8,31,0,6,322,1.0,8,1,群体B
U00000224,1363.5,2,2,8,30,1,2,671,0.0,10,1,群体B
U00000225,1963.63,8,0,16,34,1,6,415,1.0,16,1,群体B
U00000226,2421.5,9,0,5,18,0,5,810,1.0,5,1,群体B
U00000227,3173.27,12,0,73,18,0,1,408,0.0,73,2,群体C
U00000228,3783.83,14,0,12,21,0,2,978,1.0,12,1,群体B
U00000229,3107.81,12,5,7,31,0,3,326,1.0,12,1,群体B
U00000230,5209.71,5,1,7,32,0,4,381,0.0,8,1,群体B
U00000231,418.74,18,0,9,18,1,3,504,0.0,9,1,群体B
U00000232,1638.95,50,0,29,19,0,5,1022,0.0,29,0,群体A
U00000233,2102.84,20,0,2,30,0,6,579,0.0,2,0,群体A
U00000234,3665.54,4,0,8,18,0,6,572,0.0,8,1,群体B
U00000235,7912.29,5,0,16,28,0,4,732,0.0,16,3,群体D
U00000236,1950.95,6,0,3,30,1,1,671,1.0,3,1,群体B
U00000237,1095.97,25,0,6,22,0,3,105,0.0,6,0,群体A
U00000238,3193.62,18,0,9,27,1,4,1,0.0,9,1,群体B
U00000239,3366.28,8,0,2,25,0,3,1144,1.0,2,1,群体B
U00000240,6722.0,9,0,4,30,1,3,442,0.0,4,3,群体D
U00000241,841.15,2,0,1,24,1,3,636,1.0,1,1,群体B
U00000242,4086.68,1,0,8,18,0,4,625,0.0,8,1,群体B
U00000243,3196.0,15,0,4,31,1,5,732,0.0,4,1,群体B
U00000244,2363.7,3,0,12,26,1,1,353,0.0,12,1,群体B
U00000245,495.73,15,0,36,31,0,4,869,0.0,36,1,群体B
U00000246,1530.26,9,0,5,19,0,6,39,0.0,5,1,群体B
U00000247,1419.78,14,0,5,24,0,5,602,1.0,5,1,群体B
U00000248,5571.44,5,1,32,22,0,7,714,0.0,33,1,群体B
U00000249,2627.58,11,0,14,33,0,4,831,0.0,14,1,群体B
U00000250,2038.59,7,0,94,32,0,3,751,1.0,94,2,群体C
U00000251,1308.94,22,0,19,38,1,6,1173,0.0,19,0,群体A
U00000252,3833.63,6,0,8,25,0,3,468,0.0,8,1,群体B
U00000253,344.17,10,1,18,18,0,6,723,0.0,19,1,群体B
U00000254,1922.68,17,1,48,18,1,3,554,1.0,49,1,群体B
U00000255,668.95,8,0,11,33,0,5,252,0.0,11,1,群体B
U00000256,5204.07,3,2,17,37,0,6,839,0.0,19,1,群体B
U00000257,4692.03,2,0,16,18,0,6,416,1.0,16,1,群体B
U00000258,1286.89,9,0,4,22,0,6,263,0.0,4,1,群体B
U00000259,6856.07,26,1,6,18,0,5,133,0.0,7,0,群体A
U00000260,2397.6,13,0,4,42,0,4,274,0.0,4,1,群体B
U00000261,2589.22,50,0,1,29,1,3,975,0.0,1,0,群体A
U00000262,3054.55,9,2,22,19,0,2,635,1.0,24,1,群体B
U00000263,466.26,4,0,15,19,0,6,277,1.0,15,1,群体B
U00000264,1807.18,30,0,35,38,0,3,678,0.0,35,0,群体A
U00000265,3696.86,30,0,47,31,1,5,724,0.0,47,0,群体A
U00000266,2787.91,3,0,22,26,0,5,1105,0.0,22,1,群体B
U00000267,1744.48,3,0,25,23,0,4,473,0.0,25,1,群体B
U00000268,1275.6,5,1,30,23,0,5,347,1.0,31,1,群体B
U00000269,1306.38,19,6,9,18,0,2,853,0.0,15,1,群体B
U00000270,431.23,8,0,13,21,0,4,882,0.0,13,1,群体B
U00000271,1110.47,14,0,4,23,0,3,662,1.0,4,1,群体B
U00000272,1384.75,12,0,43,25,0,4,970,1.0,43,1,群体B
U00000273,392.96,11,0,42,26,0,4,647,0.0,42,1,群体B
U00000274,4871.03,13,4,0,34,0,2,529,1.0,4,1,群体B
U00000275,3937.89,11,0,14,20,0,4,535,1.0,14,1,群体B
U00000276,195.87,14,0,88,37,0,1,555,0.0,88,2,群体C
U00000277,1761.19,9,0,5,25,1,4,242,1.0,5,1,群体B
U00000278,1944.02,24,0,10,29,1,2,5,1.0,10,0,群体A
U00000279,1002.9,5,0,242,35,1,2,147,0.0,242,2,群体C
U00000280,2154.91,14,0,39,31,0,1,509,0.0,39,1,群体B
U00000281,3725.24,8,0,64,32,0,7,490,1.0,64,2,群体C
U00000282,945.6,14,0,19,22,1,4,660,0.0,19,1,群体B
U00000283,2480.65,13,1,32,25,0,4,596,0.0,33,1,群体B
U00000284,289.55,13,1,2,32,0,3,847,0.0,3,1,群体B
U00000285,3943.79,2,1,40,32,0,5,389,1.0,41,1,群体B
U00000286,2993.72,3,15,8,28,0,4,539,1.0,23,1,群体B
U00000287,846.74,16,1,7,32,0,5,574,0.0,8,1,群体B
U00000288,2604.46,5,1,20,20,0,6,243,1.0,21,1,群体B
U00000289,1196.77,13,0,2,32,1,4,1,1.0,2,1,群体B
U00000290,979.95,15,3,2,34,0,2,1,0.0,5,1,群体B
U00000291,875.2,15,0,16,26,1,5,627,1.0,16,1,群体B
U00000292,409.03,11,0,38,28,0,7,705,0.0,38,1,群体B
U00000293,976.23,21,0,31,18,0,3,542,1.0,31,0,群体A
U00000294,3808.18,3,0,3,38,0,6,970,0.0,3,1,群体B
U00000295,1321.36,2,1,4,29,0,5,948,0.0,5,1,群体B
U00000296,511.69,4,2,12,31,1,4,140,1.0,14,1,群体B
U00000297,320.98,3,0,10,29,0,1,1,1.0,10,1,群体B
U00000298,7216.33,14,0,18,30,0,4,379,0.0,18,3,群体D
U00000299,626.15,13,0,20,30,1,4,357,0.0,20,1,群体B
U00000300,2844.28,2,0,40,38,1,6,422,1.0,40,1,群体B
U00000301,3518.29,29,1,9,46,0,4,196,1.0,10,0,群体A
U00000302,6372.08,13,0,3,35,0,6,1,0.0,3,3,群体D
U00000303,2739.58,17,0,68,36,1,4,661,0.0,68,2,群体C
U00000304,3890.65,20,0,9,23,0,5,919,1.0,9,0,群体A
U00000305,4914.62,3,0,7,25,1,1,1103,1.0,7,1,群体B
U00000306,226.22,3,0,8,29,0,4,441,0.0,8,1,群体B
U00000307,4876.29,3,1,8,31,1,4,499,0.0,9,1,群体B
U00000308,698.55,3,0,10,29,1,1,285,1.0,10,1,群体B
U00000309,668.93,9,1,0,19,0,1,741,0.0,1,1,群体B
U00000310,1048.8,7,0,4,23,1,6,381,1.0,4,1,群体B
U00000311,1299.13,1,0,10,24,0,6,602,0.0,10,1,群体B
U00000312,2466.04,10,0,3,30,1,6,141,1.0,3,1,群体B
U00000313,2258.77,8,13,36,24,0,2,506,0.0,49,1,群体B
U00000314,3410.15,6,0,8,25,1,7,168,0.0,8,1,群体B
U00000315,18764.47,7,3,21,24,0,5,411,0.0,24,3,群体D
U00000316,239.09,24,0,2,32,0,4,480,1.0,2,0,群体A
U00000317,278.87,6,0,29,36,0,4,516,1.0,29,1,群体B
U00000318,3173.79,2,0,16,20,1,3,740,1.0,16,1,群体B
U00000319,440.98,4,0,6,33,1,6,531,1.0,6,1,群体B
U00000320,1810.42,4,0,31,19,1,5,460,0.0,31,1,群体B
U00000321,3569.96,20,0,20,32,1,5,1,0.0,20,0,群体A
U00000322,544.36,14,0,3,18,0,1,674,0.0,3,1,群体B
U00000323,875.73,23,0,3,38,1,2,564,1.0,3,0,群体A
U00000324,4185.29,7,1,58,24,0,4,434,0.0,59,2,群体C
U00000325,725.88,11,0,12,28,0,1,597,1.0,12,1,群体B
U00000326,420.85,3,1,25,27,1,6,1235,1.0,26,1,群体B
U00000327,1451.48,26,1,3,37,1,5,722,1.0,4,0,群体A
U00000328,2768.97,6,0,3,21,0,1,819,0.0,3,1,群体B
U00000329,2114.04,20,11,13,26,0,5,332,0.0,24,0,群体A
U00000330,1294.76,3,0,6,28,0,4,659,0.0,6,1,群体B
U00000331,2788.48,8,0,11,34,1,7,334,0.0,11,1,群体B
U00000332,3122.41,14,0,7,20,0,3,330,0.0,7,1,群体B
U00000333,1445.37,12,0,12,18,0,2,568,0.0,12,1,群体B
U00000334,1155.46,2,1,6,18,1,4,817,1.0,7,1,群体B
U00000335,1950.73,7,0,20,32,0,4,275,1.0,20,1,群体B
U00000336,1343.48,20,0,5,27,1,1,90,0.0,5,0,群体A
U00000337,7063.84,3,0,11,26,1,3,313,1.0,11,3,群体D
U00000338,1180.25,7,0,5,20,0,3,159,1.0,5,1,群体B
U00000339,402.37,10,0,62,27,1,4,263,1.0,62,2,群体C
U00000340,1515.18,8,1,3,31,1,5,472,1.0,4,1,群体B
U00000341,7271.47,24,0,22,26,1,3,219,0.0,22,3,群体D
U00000342,587.51,6,2,36,37,0,5,659,0.0,38,1,群体B
U00000343,3853.46,8,0,19,33,0,4,861,1.0,19,1,群体B
U00000344,6882.74,23,0,21,25,0,5,514,0.0,21,0,群体A
U00000345,1483.09,15,3,18,32,1,4,189,1.0,21,1,群体B
U00000346,6297.04,10,1,11,27,1,5,17,0.0,12,1,群体B
U00000347,1015.55,7,0,9,29,0,5,477,0.0,9,1,群体B
U00000348,388.85,24,0,70,25,0,2,865,0.0,70,2,群体C
U00000349,1902.91,18,3,5,28,1,5,437,0.0,8,1,群体B
U00000350,2788.26,11,1,7,18,0,5,582,0.0,8,1,群体B
U00000351,2150.0,5,3,49,20,0,4,711,0.0,52,1,群体B
U00000352,3283.3,7,0,24,36,0,1,553,0.0,24,1,群体B
U00000353,3429.46,21,0,6,24,0,4,726,1.0,6,0,群体A
U00000354,2187.4,2,0,1,18,0,4,39,0.0,1,1,群体B
U00000355,1895.52,6,0,13,40,0,5,569,0.0,13,1,群体B
U00000356,1501.1,1,0,4,24,0,1,1097,1.0,4,1,群体B
U00000357,1431.78,14,1,14,31,0,4,829,0.0,15,1,群体B
U00000358,349.44,17,0,5,22,0,4,487,1.0,5,1,群体B
U00000359,198.57,22,0,3,34,0,6,724,1.0,3,0,群体A
U00000360,3294.56,4,0,5,27,0,5,370,0.0,5,1,群体B
U00000361,1567.63,4,0,2,18,0,4,1320,0.0,2,1,群体B
U00000362,2243.68,4,0,2,43,0,5,470,0.0,2,1,群体B
U00000363,3950.4,2,0,14,22,0,4,450,1.0,14,1,群体B
U00000364,3276.79,8,4,10,24,1,5,487,0.0,14,1,群体B
U00000365,1038.6,15,2,19,18,0,4,363,0.0,21,1,群体B
U00000366,1537.37,8,1,14,18,1,2,588,1.0,15,1,群体B
U00000367,3303.64,7,1,55,35,1,7,554,1.0,56,2,群体C
U00000368,1724.04,2,0,30,28,0,4,642,1.0,30,1,群体B
U00000369,1059.38,13,0,2,18,1,2,395,1.0,2,1,群体B
U00000370,18475.92,5,0,1,23,0,6,221,1.0,1,3,群体D
U00000371,444.01,6,1,4,30,0,5,776,0.0,5,1,群体B
U00000372,1414.6,3,0,13,31,1,4,393,1.0,13,1,群体B
U00000373,1643.66,12,0,17,19,0,3,723,0.0,17,1,群体B
U00000374,1872.23,6,0,31,22,1,3,576,1.0,31,1,群体B
U00000375,351.42,11,3,123,21,1,5,830,1.0,126,2,群体C
U00000376,386.77,7,0,20,23,0,2,1070,0.0,20,1,群体B
U00000377,3336.76,7,1,32,28,1,4,164,1.0,33,1,群体B
U00000378,1820.3,19,0,27,33,0,3,469,1.0,27,1,群体B
U00000379,2319.07,9,0,38,28,0,1,183,0.0,38,1,群体B
U00000380,1487.98,19,5,33,29,0,4,30,0.0,38,1,群体B
U00000381,2518.3,10,0,11,25,1,2,569,0.0,11,1,群体B
U00000382,258.31,12,0,69,18,1,4,902,0.0,69,2,群体C
U00000383,2254.4,3,0,6,25,1,4,195,1.0,6,1,群体B
U00000384,389.61,4,0,8,23,0,4,628,1.0,8,1,群体B
U00000385,527.62,5,0,44,21,0,4,294,0.0,44,1,群体B
U00000386,9884.92,4,0,33,27,0,3,1167,1.0,33,3,群体D
U00000387,2459.88,9,0,12,18,1,6,477,1.0,12,1,群体B
U00000388,741.88,50,8,7,23,1,7,1084,1.0,15,0,群体A
